Unnamed: 0,name,link,weight,category,drop,price
33,Brooks Ghost 13,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Brooks-Ghost-13-p58299/?pstart=49'],249,Neutral Cushion - Medium,11,119.99
34,Salomon Sonic 4 GTX,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Salomon-Sonic-4-GTX-p57552/?pstart=49'],261,Trail Running,8,139.99
35,NB W880E v11,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/NB-W880E-v11-p56877/?pstart=49'],247,Neutral Cushion - Medium,10,119.99
36,Altra Vanish Carbon,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Altra-Vanish-Carbon-p58673/?pstart=49'],176,Neutral Cushion - High,0,259.99
37,On Cloudflow,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/On-Cloudflow-p59888/?pstart=49'],196,Neutral Cushion - Medium,9,169.99
38,NB W1080N v11,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/NB-W1080N-v11-p57438/?pstart=49'],230,Neutral Cushion - High,8,149.99
39,On Cloudmonster,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/On-Cloudmonster-p58887/?pstart=49'],230,Neutral Cushion - High,6,199.99
40,NB Fresh Foam X More v4,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/NB-Fresh-Foam-X-More-v4-p60433/?pstart=49'],238,Neutral Cushion - High,4,189.99
41,Brooks Hyperion Tempo,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Brooks-Hyperion-Tempo-p56019/?pstart=49'],190,Neutral Cushion - High,8,149.99
42,Hoka Bondi SR,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Hoka-Bondi-SR-p58504/?pstart=49'],397,Neutral Cushion - High,6,199.99
43,Saucony Endorphin Pro 2,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Saucony-Endorphin-Pro-2-p58369/?pstart=49'],179,Neutral Cushion - Light,8,199.99
44,On Cloudstratus,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/On-Cloudstratus-p59904/?pstart=49'],250,Neutral Cushion - High,6,219.99
45,Hoka Mach Supersonic,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Hoka-Mach-Supersonic-p58538/?pstart=49'],196,Neutral Cushion - High,5,159.99
46,Hoka Mach 5,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Hoka-Mach-5-p59820/?pstart=49'],193,Neutral Cushion - High,5,164.99
47,Hoka Kawana,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Hoka-Kawana-p58532/?pstart=49'],238,Neutral Cushion - Medium,5,159.99
48,Saucony Endorphin Speed 3,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Saucony-Endorphin-Speed-3-p60191/?pstart=49'],204,Neutral Cushion - Light,8,209.99
49,Asics Gel-Contend 7,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Asics-GelContend-7-p60073/?pstart=49'],224,Neutral Cushion - Medium,10,99.99
50,Saucony Endorphin Pro 3,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Saucony-Endorphin-Pro-3-p59382/?pstart=49'],176,Neutral Cushion - Light,8,299.99
51,On Cloudgo,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/On-Cloudgo-p59896/?pstart=49'],210,Neutral Cushion - Medium,11,169.99
52,Brooks Glycerin 20 Stealthfit,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Brooks-Glycerin-20-Stealthfit-p59863/?pstart=49'],238,Neutral Cushion - High,10,199.99
53,On Cloud X 2.0,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/On-Cloud-X-20-p58675/?pstart=49'],201,Neutral Cushion - Light,6,169.99
54,Saucony Endorphin Speed 2,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Saucony-Endorphin-Speed-2-p57200/?pstart=97'],198,Neutral Cushion - Light,8,159.99
55,Altra Rivera,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Altra-Rivera-p56368/?pstart=97'],207,Midfoot Running,0,122.49
56,NB W1080B v11,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/NB-W1080B-v11-p56476/?pstart=97'],264,Neutral Cushion - High,8,149.99
57,Hoka Bondi X,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Hoka-Bondi-X-p58506/?pstart=97'],255,Neutral Cushion - High,5,239.99
58,Mizuno Wave Rider 25 Waveknit,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Mizuno-Wave-Rider-25-Waveknit-p58643/?pstart=97'],238,Neutral Cushion - Medium,12,139.99
59,NB FF X 1080 v12 Permafrost,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/NB-FF-X-1080-v12-Permafrost-p60774/?pstart=97'],255,Neutral Cushion - High,8,209.99
60,Topo Cyclone,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Topo-Cyclone-p56557/?pstart=97'],181,Neutral Cushion - Light,5,90
61,Brooks Trace,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Brooks-Trace-p57935/?pstart=97'],224,Neutral Cushion - Medium,12,80
62,On Cloudrunner,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/On-Cloudrunner-p58889/?pstart=97'],170,Neutral Cushion - Light,9,169.99
63,Brooks Launch 9,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Brooks-Launch-9-p60022/?pstart=97'],201,Neutral Cushion - Light,10,125.99
64,NB Fresh Foam 880v11 GTX,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/NB-Fresh-Foam-880v11-GTX-p58166/?pstart=97'],244,Neutral Cushion - Medium,10,209.99
65,Saucony Kinvara 12,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Saucony-Kinvara-12-p56195/?pstart=97'],184,Neutral Cushion - Light,4,80
66,NB Fresh Foam More v3,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/NB-Fresh-Foam-More-v3-p60058/?pstart=97'],249,Neutral Cushion - High,4,189.99
67,Saucony Kinvara 13,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Saucony-Kinvara-13-p58393/?pstart=97'],176,Neutral Cushion - Light,4,139.99
68,On Cloudstratus 2,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/On-Cloudstratus-2-p57636/?pstart=97'],270,Neutral Cushion - High,8,219.99
71,Asics Gel Cumulus 23,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Asics-Gel-Cumulus-23-p56931/?pstart=97'],230,Neutral Cushion - Medium,10,90
73,NB W880F v10,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/NB-W880F-v10-p57944/?pstart=97'],247,Neutral Cushion - Medium,10,80
74,Mizuno Wave Neo Ultra,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Mizuno-Wave-Neo-Ultra-p60104/?pstart=97'],255,Neutral Cushion - High,8,299.99
75,NB W1080W v11,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/NB-W1080W-v11-p56589/?pstart=97'],264,Neutral Cushion - High,8,149.99
76,Mizuno Wave Rider 26 SSW,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Mizuno-Wave-Rider-26-SSW-p60109/?pstart=97'],249,Neutral Cushion - Medium,12,189.99
77,NB W880D v10,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/NB-W880D-v10-p55681/?pstart=97'],255,Neutral Cushion - Medium,10,80
78,Hoka Carbon X 2,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Hoka-Carbon-X-2-p56301/?pstart=97'],227,Neutral Cushion - High,5,179.99
79,Saucony Kinvara 11,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Saucony-Kinvara-11-p57222/?pstart=145'],196,Neutral Cushion - Light,4,80
80,Saucony Type A9,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Saucony-Type-A9-p54955/?pstart=145'],142,Neutral Cushion - Light,4,139.99
81,NB W880K v10,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/NB-W880K-v10-p54223/?pstart=145'],255,Neutral Cushion - Medium,10,119.99
82,Brooks Levitate 5,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Brooks-Levitate-5-p57934/?pstart=145'],244,Neutral Cushion - High,8,151.99
83,Mizuno Wave Shadow 4,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Mizuno-Wave-Shadow-4-p56346/?pstart=145'],221,Neutral Cushion - Light,8,80
85,Brooks Levitate Stealthfit 5,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Brooks-Levitate-Stealthfit-5-p59974/?pstart=145'],244,Neutral Cushion - High,8,90
86,Mizuno Wave Rebellion,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Mizuno-Wave-Rebellion-p58640/?pstart=145'],179,Neutral Cushion - High,8,239.99
