,name,core score
185,Under Armour Charged Impulse 2,83
186,Under Armour Charged Rogue 2.5,82
187,Under Armour HOVR Mega 2 Clone,80
188,Adidas Ultraboost DNA 1.0,75
189,Reebok Energen Plus,81
190,On Cloudboom Echo,87
191,Nike Air Zoom Pegasus 38 Shield,85
192,Adidas EQ21 Run Cold.RDY,76
193,Asics Gel Kinsei Blast,89
194,Adidas Lite Racer BYD 2.0,81
195,Asics Gel Kayano Lite 2,89
196,Topo Athletic Terraventure 3,89
197,Adidas Response Super 2.0,80
198,Asics Gel Sonoma 6 GTX,79
199,Brooks Levitate GTS 5,86
200,Nike Revolution 6,78
201,Nike Run Swift 2,79
202,Asics Fuji Lite 2,85
203,Hoka Rincon 3,88
204,Hoka Bondi X,85
205,Saucony Endorphin Pro+,91
206,Puma Magnify Nitro,78
207,Mizuno Wave Rebellion,83
208,Nike Zoom Prevail,85
209,Adidas Pureboost 21,81
210,Adidas Ultraboost 22,89
211,Reebok Energylux 3,82
212,Asics GT 2000 9 GTX,81
213,Nike Flex Run 2021,79
214,APL Streamline,68
215,New Balance Fresh Foam 860 v12,87
216,Nike Zoom Fly 4,85
217,Nike Air Zoom Structure 24,78
218,Saucony Omni 20,86
219,Asics GT 2000 10,90
220,Mizuno Wave Sky 5,90
221,Skechers GOrun Speed Freek,78
222,Brooks Levitate 5,89
223,Merrell Agility Peak 4,84
224,Mizuno Wave Rider 25,91
225,Adidas EQ21,87
226,Altra Torin 5,81
227,Nike Air Zoom Vomero 16,88
228,Adidas Adizero Prime X,86
229,Brooks Ghost 14,93
230,Skechers GOrun MaxRoad 5,87
231,Adidas Adizero Boston 10,84
232,La Sportiva VK BOA,63
233,Adidas Adizero Adios Pro 2.0,93
234,La Sportiva Cyklon,87
235,Adidas Cloudfoam Pure 2.0,80
236,Brooks Revel 5,87
237,La Sportiva Karacal,85
238,Nike Free Run 5.0,83
239,Asics Metaspeed Edge,88
240,Asics Patriot 12,80
241,Altra Paradigm 6.0,85
242,Adidas Adizero Adios 6,85
243,Hoka Zinal,86
244,New Balance FuelCell Propel v3,83
245,Saucony Triumph 19,89
246,Under Armour Charged Assert 9,82
247,Nike Quest 4,75
248,Under Armour Charged Vantage,78
249,Nike Pegasus Trail 3,89
250,Brooks Cascadia 16,90
251,Asics Gel Kumo Lyte 2,80
252,Asics GT 2000 9 Trail,80
253,New Balance FuelCell Prism v2,84
254,Saucony Endorphin Pro 2,91
255,Saucony Endorphin Trail,78
256,Nike Downshifter 11,81
257,Topo Athletic MTN Racer 2,90
258,New Balance Lerato,87
259,Salomon Ultra Glide,89
260,New Balance Fresh Foam Vongo v5,90
261,Altra Superior 5,87
262,Saucony Endorphin Speed 2,91
263,Brooks Aurora-BL,87
264,Asics Gel DS Trainer 26,87
265,Merrell Moab Flight,88
266,Asics Gel Trabuco 9,84
267,Hoka Mafate Speed 3,84
268,Topo Athletic Ultraventure 2,86
269,Asics Jolt 3,79
270,Adidas Solarboost 3,85
271,Asics Dynablast 2,85
272,Adidas Adizero Adios 6,85
273,Salomon Alphacross Blast,79
274,Nike Air Zoom Pegasus 38 FlyEase,80
275,Adidas Fluidstreet,82
276,Under Armour HOVR Infinite 3,91
277,Asics GT 1000 10,87
278,Merrell Nova 2 GTX,79
279,Puma Liberate Nitro,88
280,Puma Deviate Nitro Elite,90
281,Asics Gel Kayano 28,90
282,Saucony Endorphin Shift 2,87
283,Asics Gel Excite 8,89
284,Salomon Index.01,90
285,New Balance Fresh Foam 880 v11,89
286,Asics Novablast 2,90
287,Skechers GOrun Razor TRL,79
288,Mizuno Wave Horizon 5,88
289,Saucony Axon,88
